iter	Passed	Remaining
584	38959	5261
585	39042	5196
586	39100	5129
587	39158	5061
588	39212	4993
589	39283	4927
590	39340	4859
591	39383	4789
592	39457	4724
593	39516	4656
594	39570	4588
595	39625	4521
596	39690	4454
597	39759	4388
598	39821	4321
599	39886	4254
600	39951	4187
601	40026	4122
602	40073	4053
603	40113	3984
604	40162	3916
605	40233	3850
606	40314	3785
607	40371	3718
608	40435	3651
609	40519	3586
610	40590	3520
611	40654	3454
612	40705	3386
613	40787	3321
614	40842	3254
615	40935	3189
616	41015	3124
617	41105	3059
618	41185	2994
619	41265	2928
620	41325	2861
621	41389	2794
622	41451	2727
623	41524	2661
624	41588	2595
625	41625	2526
626	41686	2459
627	41756	2393
628	41822	2327
629	41863	2259
630	41923	2192
631	42007	2126
632	42075	2060
633	42133	1993
634	42208	1927
635	42260	1860
636	42326	1794
637	42402	1727
638	42471	1661
639	42572	1596
640	42641	1530
641	42725	1464
642	42819	1398
643	42880	1331
644	42937	1264
645	42995	1198
646	43081	1131
647	43141	1065
648	43195	998
649	43272	932
650	43334	865
651	43397	798
652	43461	732
653	43536	665
654	43583	598
655	43631	532
656	43713	465
657	43767	399
658	43804	332
659	43872	265
660	43949	199
661	44017	132
662	44075	66
663	44129	0
